age,birth_year,cause_of_death,death_month,death_year,famous_for,name,nationality
84,1932, heart attack,March,2016,American actor (The Rockford Files The Sopranos The Last Boy Scout),Joe Santos,American
78,1938, Alzheimer's disease,March,2016,German politician Minister President of Baden-Württemberg (1978–1991),Lothar Späth,German
77,1939,,March,2016, MP (1990–2007),Les Tanyuk,Ukrainian
23,1993, dirt bike collision,March,2016,American football player (Baltimore Ravens),Tray Walker,American
54,1962, leukemia,March,2016,German politician Minister for Foreign Affairs (2009–2013) and Vice-Chancellor (2009–2011),Guido Westerwelle,German
85,1931,,March,2016,American photographer (African-American Civil Rights Movement),Bob Adelman,American
56,1960, plane crash,March,2016,Brazilian bank and mining executive CEO of Vale S.A. (2001–2011),Roger Agnelli,Brazilian
85,1931,,March,2016,Spanish footballer (Athletic Bilbao),José Artetxe,Spanish
35,1981, suspected heart attack,March,2016,Canadian rugby union player (national team),John Cannon,Canadian
46,1970, heart attack,March,2016,Bulgarian politician member of the National Assembly (2005–2009),Pavel Chernev,Bulgarian
74,1942,,March,2016, High Commissioner to Australia (1994–1999),Graham Fortune,New
76,1940,,March,2016,Welsh cricketer (Lancashire Gloucestershire),David Green,Welsh
85,1931,,March,2016, member of the Senate (1982–1996) and European Parliament (1986–1987),José Ramón Herrero Merediz,Spanish
78,1938, PSP,March,2016,American politician member of the Arkansas House of Representatives (2001–2005) and Senate (2005–2012) Mayor of Pine Bluff (1992–2000),Jerry Taylor,American
96,1920,,March,2016, unofficial member of the Legislative Council of Hong Kong (1976–1985),Wong Lam,Hong
84,1932,,March,2016,English footballer (Bristol City Coventry City),Jack Boxley,English
65,1951, hit by train,March,2016,Hungarian boxer European champion (1973),Sándor Csjef,Hungarian
90,1926, chairman of Jersey Heritage,March,2016,Jersey politician member of the States for Saint Helier No 1 (1978–1987),Don Filleul,Jersey
74,1942,,March,2016,American Olympic long jumper (1964),Gayle Hopkins,American
93,1923,,March,2016, Prime Minister (1972–1973 1975–1982),Anker Jørgensen,Danish
70,1946, leukemia,March,2016,Ghanaian politician member of the Kufuor government (2001–2007),Jacob Otanka Obetsebi-Lamptey,Ghanaian
95,1921,,March,2016, Bishop of Senigallia (1971–1997),Odo Fusi Pecci,Italian
79,1937,,March,2016,Irish hurler (Cork),Paddy Philpott,Irish
33,1983,,March,2016,Canadian ice hockey player (Saskatoon Blades Arizona Sundogs Hull Stingrays),Matt Suderman,Canadian
94,1922, complications from stroke,March,2016,American politician member of the Missouri House of Representatives (1979–1986),Leroy Blunt,American
80,1936,,March,2016,American actor (Lawman Laredo Foxy Brown),Peter Brown,American
56,1960,,March,2016, Bishop of Kimbe (2003–2008),Alphonse Liguori Chaupa,Papua
74,1942, complications following a heart attack,March,2016,Belgian footballer (R.S.C. Anderlecht),Jean Cornelis,Belgian
58,1958,,March,2016,Chilean film director (The Frontier),Ricardo Larraín,Chilean
87,1929,,March,2016, Archbishop of Malta (1976–2006),Joseph Mercieca,Maltese
71,1945,,March,2016, member of the Constitutional Court (2006–2015),Paolo Maria Napolitano,Italian
75,1941,,March,2016, member of the Montana Senate (2002–2010) and House of Representatives (2010–2014),Carolyn Squires,American
79,1937, injuries sustained in Brussels Airport bombings,March,2016,Belgian diplomat Ambassador to Algeria (1986–1990) Zaire (1990–1991) United States (1994–1998) Permanent Representative to the United Nations (1998–2001),André Adam,Belgian
29,1987,,March,2016,Belgian terrorist (2016 Brussels bombings),Ibrahim El Bakraoui,Belgian
27,1989,,March,2016,Belgian terrorist (2016 Brussels bombings),Khalid El Bakraoui,Belgian
81,1935,,March,2016,American actor (Man in a Suitcase The Untouchables Cagney & Lacey),Richard Bradford,American
46,1970, liposarcoma,March,2016,Canadian politician Mayor of Toronto (2010–2014),Rob Ford,Canadian
88,1928, respiratory failure,March,2016,American actress (The Thief Klute No Exit) and filmmaker,Rita Gam,American
84,1932,,March,2016,Filipino sports administrator (Philippine Sports Commission),Cecil Hechanova,Filipino
91,1925,,March,2016,Finnish ice hockey player and coach (national team),Aarne Honkavaara,Finnish
83,1933,,March,2016,Canadian ice hockey player (Boston Bruins Chicago Blackhawks),Norm Johnson,Canadian
24,1992,,March,2016,Moroccan-born Belgian terrorist (2016 Brussels bombings),Najim Laachraoui,Moroccan-born
45,1971, complications from diabetes,March,2016,American rap musician (A Tribe Called Quest),Phife Dawg,American
80,1936, lung cancer,March,2016,American actor (Sesame Street The Preacher's Wife The Cosby Show),David Smyrl,American
85,1931,,March,2016,Chinese aircraft designer (Chengdu J-10) and academic (Chinese Academy of Engineering),Song Wencong,Chinese
72,1944, complications from a stroke,March,2016,Indian politician MP for Tezpur (2009–2014) Assam MLA for Sonitpur (1996–2009),Joseph Toppo,Indian
90,1926,,March,2016, World Series champion (1946),Joe Garagiola Sr.,American
71,1945,,March,2016,British food manufacturer (Weetabix Limited),Sir Richard George,British
41,1975, apparent heart attack,March,2016,Canadian politician MP for Medicine Hat—Cardston—Warner (since 2011),Jim Hillyer,Canadian
71,1945,,March,2016, 2009),Ken Howard,American
69,1947, plane crash,March,2016,American politician member of the Washington House of Representatives (1974–1978),John McKibbin,American
83,1933,,March,2016, Littlewoods chairman (1977–1980),Sir Peter Moores,British
62,1954,,March,2016,Trinidadian cricket player (West Indies national team),Rangy Nanan,Trinidadian
86,1930, complications from Alzheimer's disease,March,2016,American educator President of Arizona State University (1981–1989),J. Russell Nelson,American
89,1927,,March,2016,American radio broadcaster (WJTN),Jim Roselle,American
85,1931, negotiated NAFTA,March,2016,Mexican diplomat and politician member of the Senate for Mexico City (1994–2000) Secretary of Foreign Affairs (1988–1993),Fernando Solana,Mexican
83,1933,,March,2016,American television writer (The Golden Girls The Electric Company Alice),Tom Whedon,American
67,1949,,March,2016,American football player (New England Patriots),Julius Adams,American
73,1943, cancer,March,2016,American actress (The Italian Job),Maggie Blye,American
68,1948, lung cancer,March,2016,Dutch football player and manager (AFC Ajax FC Barcelona Feyenoord national team),Johan Cruyff,Dutch
66,1950,,March,2016, Bishop of Franceville (since 1996),Timothée Modibo-Nzockena,Congolese-born
47,1969, traffic collision,March,2016,Indian footballer (East Bengal national team),Proloy Saha,Indian
84,1932,,March,2016, New York City Fire Commissioner (2002–2009),Nicholas Scoppetta,American
66,1950, blood clot,March,2016,American comedian actor and writer (The Larry Sanders Show Iron Man 2 Over the Hedge),Garry Shandling,American
67,1949,,March,2016,Northern Irish Gaelic football player (Down),Brendan Sloan,Northern
46,1970, amyotrophic lateral sclerosis,March,2016,American football player (New England Patriots Philadelphia Eagles),Kevin Turner,American
60,1956, cancer,March,2016,British animator (The Trap Door),Terry Brain,British
73,1943,,March,2016, MP (1996–2009),Lalmuni Chaubey,Indian
90,1926,,March,2016,Italian actress (My Friends Julia and Julia Come Have Coffee with Us),Angela Goodwin,Italian
71,1945, cancer,March,2016,New Zealand television producer (Police Ten 7 Melody Rules),Ross Jennings,New
82,1934,,March,2016, MP (1983–1994),Imre Pozsgay,Hungarian
86,1930,,March,2016, national team),Raúl Cárdenas,Mexican
68,1948, shot,March,2016,Mexican Olympic water polo player (1968 1972 1976) 1975 Pan American Games champion,Francisco García Moreno,Mexican
51,1965,,March,2016,Canadian rugby union player (London Wasps),Norm Hadley,Canadian
78,1938,,March,2016,American author and screenwriter (Legends of the Fall Wolf),Jim Harrison,American
91,1925,,March,2016,Irish Gaelic football player (Meath),Paddy O'Brien,Irish
44,1972, 1990 World Juniors champion,March,2016,Soviet-born Russian Olympic figure skater (1994 1998),Igor Pashkevich,Soviet-born
100,1916,,March,2016, Bishop of Amboina (1965–1994),Andreas Peter Cornelius Sol,Dutch-born
95,1921,,March,2016, ambassador to Sweden (1984–1987),Aduke Alakija,Nigerian
89,1927,,March,2016, Olympic champion (1948),Vince Boryla,American
87,1929,,March,2016, Olympic bronze medallist (1948),Judy-Joy Davies,Australian
28,1988, abdominal cancer,March,2016,Ugandan footballer (national team),Abel Dhaira,Ugandan
66,1950, heart attack,March,2016,Argentine footballer (Puebla),Silvio Fogel,Argentine
63,1953, member (1981–1998) and Speaker (1997–1998) of the Michigan House of Representatives,March,2016,American politician,Curtis Hertel,American
92,1924,,March,2016,American Assiniboine soldier and code talker (Merrill's Marauders),Gilbert Horn Sr.,American
75,1941, cancer,March,2016,New Zealand television presenter and producer (Country Calendar Top Town),Frank Torley,New
92,1924,,March,2016,Canadian radio broadcaster (CFRB),Wally Crouter,Canadian
96,1920,,March,2016,English illustrator (Paddington Bear),Peggy Fortnum,English
81,1935,,March,2016, Olympic bronze medallist (1956),Nicholas Gargano,British
52,1964, pancreatic cancer,March,2016,American animation producer (The Lego Movie Atlantis: The Lost Empire Brother Bear),Igor Khait,American
94,1922, complications from a stroke,March,2016,American actor (Benson 10 Archie: To Riverdale and Back Again),James Noble,American
95,1921,,March,2016, Chief Justice of the Iowa Supreme Court (1978–1987),W. Ward Reynoldson,American
93,1923,,March,2016, President of Egyptian Olympic Committee (1971–1972),Mostafa Kamal Tolba,Egyptian
11,2005,,March,2016, first dog of Maine (since 2011),Baxter LePage,American
69,1947,,March,2016,Australian rugby league player (St,Grahame Bowen,Australian
100,1916,,March,2016, world champion (1958 1962),Yelena Donskaya,Russian
69,1947, sepsis,March,2016,American actress (The Miracle Worker The Patty Duke Show Valley of the Dolls) President of SAG (1985–1988) Oscar winner (1962),Patty Duke,American
94,1922,,March,2016,American author and screenwriter (Audrey Rose),Frank De Felitta,American
93,1923,,March,2016,Canadian ice hockey player (Detroit Red Wings),Francis Kane,Canadian
67,1949,,March,2016,Indian film producer (Mana Voori Pandavulu),Jaya Krishna,Indian
59,1957, plane crash,March,2016,Canadian politician Minister of Transport (2004–2006) and broadcaster (CKAC),Jean Lapierre,Canadian
75,1941,,March,2016, President of the University at Buffalo (1982–1991) and the University of Southern California (1991–2010),Steven Sample,American
87,1929,,March,2016, Governor of the Bangko Sentral (1993–1999),Gabriel Singson,Filipino
80,1936,,March,2016, NFL champion (1960),John Wittenborn,American
53,1963, lung cancer,March,2016,Norwegian newspaper editor (Dagbladet),Anne Aasheim,Norwegian
90,1926,,March,2016, Olympic bronze medallist (1952),Denys Carnill,British
89,1927,,March,2016, President of Michigan State University (1992–1993),Gordon Guyer,American
90,1926,,March,2016, Secretary of Education (1979–1981),Shirley Hufstedler,American
77,1939,,March,2016,English football player and manager (Tranmere),John King,English
84,1932,,March,2016, CEO of Lavalin (1962–1991),Bernard Lamarre,Canadian
60,1956,,March,2016, Tony winner (1966),Frankie Michaels,American
76,1940, complications of Parkinson's disease,March,2016,American lawyer Commissioner of Federal Trade Commission (2006–2013),J. Thomas Rosch,American
70,1946, cancer,March,2016,American politician member of the Los Angeles City Council (2005–2013),Bill Rosendahl,American
100,1916,,March,2016, Texas (1961–1963),Ralph Seitsinger,American
64,1952, complications from diabetes,March,2016,Puerto Rican baseball player (Los Angeles Dodgers California Angels),Orlando Álvarez,Puerto
94,1922,,March,2016, Minister of the Interior (1957–1961),Béla Biszku,Hungarian
61,1955,,March,2016,Scottish football player (Chelsea Blackpool Burnley) and manager (Nelson),Ian Britton,Scottish
77,1939,,March,2016,American college sports administrator (Duke Blue Devils) and baseball player (Pittsburgh Pirates),Tom Butters,American
85,1931,,March,2016,British comedian and actor (The Two Ronnies The Frost Report Casino Royale),Ronnie Corbett,British
80,1936,,March,2016,Brazilian footballer (São Paulo F,Amaury Epaminondas,Brazilian
71,1945,,March,2016, Lord Mayor of London (2003),Sir Robert Finch,British
89,1927, heart failure,March,2016,German politician Minister of the Interior (1969–1974) and Foreign Affairs (1974–1982; 1982–1992) Vice Chancellor (1974–1982; 1982–1992),Hans-Dietrich Genscher,German
86,1930, complications from Parkinson's disease,March,2016,Hungarian writer laureate of the Nobel Prize in Literature (2002),Imre Kertész,Hungarian
63,1953, cardiac arrest,March,2016,Filipino politician Governor of Mountain Province (1998–2001 since 2010),Leonard Mayaen,Filipino
78,1938,,March,2016,Portuguese football player and manager (Sporting CP),Fernando Mendes,Portuguese
83,1933, pancreatic cancer,March,2016,British writer and television broadcaster (This Morning),Denise Robertson,British
87,1929,,March,2016,American football player (Green Bay Packers),Bill Robinson,American
92,1924,,March,2016,Scottish footballer (Dundee Leeds United),Jimmy Toner,Scottish
96,1920,,March,2016,English actor (Sherlock Holmes Octopussy Jason and the Argonauts),Douglas Wilmer,English
96,1920,,March,2016,English actor (Sherlock Holmes Octopussy Jason and the Argonauts),Douglas Wilmer,English
86,1930,,April,2016, Director of Immigration of Hong Kong (1983–1989),Alan Carter,British
67,1949,,April,2016,American business executive and convicted fraudster (Walmart),Tom Coughlin,American
46,1970, leukemia,April,2016,Polish politician member of Sejm (since 2005),Artur Górski,Polish
87,1929,,April,2016,Taiwanese businessman (Uni-President Enterprises Corporation),Kao Ching-yuen,Taiwanese
76,1940,,April,2016,English cricketer (Cambridge University Northamptonshire),John Minney,English
97,1919,,April,2016,American baseball player (AAGBPL),Marjorie Peters,American
87,1929,,April,2016,Italian comic book artist (Zagor Mister No),Gallieno Ferri,Italian
77,1939,,April,2016,Egyptian footballer (Zamalek),Nabil Nosair,Egyptian
79,1937,,April,2016,Canadian ice hockey player (Detroit Red Wings),Dennis Riggin,Canadian
95,1921,,April,2016, Bishop of Yujiang (1988–2012),Thomas Zeng Jing-mu,Chinese
19,1997,,April,2016, Armenian (Nagorno-Karabakh Defense Army),"Soldiers killed in the Armenian–Azerbaijani clashes:

Robert Abajyan",Armenian
19,1997,,April,2016,Armenian (Nagorno-Karabakh Defense Army),Robert Abajyan,Armenian
19,1997,,April,2016,Armenian (Nagorno-Karabakh Defense Army),Kyaram Sloyan,Armenian
93,1923,,April,2016, Crimson Peak),Erik Bauersfeld,American
87,1929,,April,2016, member of the Tennessee Senate (1985–2007),Ward Crutchfield,American
73,1943, liver cancer,April,2016,Australian writer (Newsfront My First Wife) and journalist,Bob Ellis,Australian
36,1980,,April,2016, Paralympic bronze medalist (2004),Bas van Erp,Dutch
84,1932, lung cancer,April,2016,Canadian jazz vocalist and actor (La Femme Nikita Inspector Gadget I'm Not There),Don Francks,Canadian
90,1926, cancer,April,2016,American jazz vocalist and actor (Clue City Slickers White Men Can't Jump),Bill Henderson,American
33,1983, shot,April,2016,Puerto Rican professional and Olympic lightweight boxer (2004),Alex de Jesús,Puerto
85,1931, colon cancer,April,2016,Australian Roman Catholic prelate Bishop of Ballarat (1971–1997),Ronald Mulkearns,Australian
23,1993, osteosarcoma,April,2016,South Korean short track speed skater world champion (2011 2012),Noh Jin-kyu,South
42,1974, nasopharynx cancer,April,2016,"Japanese singer (""Butter-Fly"" ""All of My Mind"")",Kōji Wada,Japanese
74,1942,,April,2016,English footballer (Grimsby Town),John Waite,English
93,1923,,April,2016, Nevada Senate (1966–1980) and Supreme Court (1985–2002),Clarence Clifton Young,American
80,1936,,April,2016,American basketball player (Cincinnati Royals Detroit Pistons),Archie Dees,American
71,1945,,April,2016, Olympic silver medalist (1968),Georgi Hristakiev,Bulgarian
85,1931,,April,2016,Spanish actress (Belle Époque Volver),Chus Lampreave,Spanish
78,1938,,April,2016,American bassist and doo-wop singer (The Belmonts),Carlo Mastrangelo,American
68,1948,,April,2016, member of the Virginia Senate (since 2008),John Miller,American
82,1934,,April,2016,English conductor (D'Oyly Carte Opera Company),Royston Nash,English
88,1928,,April,2016,American football player (Baltimore Colts),George Radosevich,American
100,1916,,April,2016,American baseball player (Brooklyn Dodgers),Mike Sandlock,American
86,1930,,April,2016,English footballer (Preston North End Rotherham United),Ken Waterhouse,English
66,1950,,April,2016, 2007),Zyta Gilowska,Polish
90,1926,,April,2016, Mayor of Detroit (1970–1974),Roman Gribbs,American
88,1928,,April,2016,American author (The Dirty Dozen),E. M. Nathanson,American
82,1934,,April,2016, 1960),Mick Sullivan,English
79,1937,,April,2016, The Company),Barbara Turner,American
48,1968,,April,2016, NFL champion (2000),Frank Wainright,American
89,1927,,April,2016, Senegal (1973–1977) and Romania (1977–1981),Orison Rudolph Aggrey,American
64,1952, cancer,April,2016,American drummer (David Bowie Stevie Wonder),Dennis Davis,American
79,1937,,April,2016, Archbishop of Beira (1976–2012),Jaime Pedro Gonçalves,Mozambican
79,1937, complications from pneumonia,April,2016,"American singer-songwriter (""Okie from Muskogee"" ""The Fightin' Side of Me"" ""Carolyn"") Grammy winner (1984 1998 1999)",Merle Haggard,American
89,1927,,April,2016,American football player (Pittsburgh Steelers),Darrell Hogan,American
65,1951,,April,2016,English footballer (Bolton Wanderers),Garry Jones,English
94,1922,,April,2016, President of the American Bar Association (1987–1988),Robert MacCrate,American
89,1927,,April,2016,American basketball player (Tri-Cities Blackhawks Waterloo Hawks),Murray Wier,American
80,1936,,April,2016,Hungarian chess Grandmaster (FIDE ICCF),László Bárczay,Hungarian
85,1931,,April,2016, Senior Australian of the Year (2000),Freda Briggs,English-born
92,1924,,April,2016, member of the United States House of Representatives from South Dakota's 1st congressional district (1971–1975),Frank E. Denholm,American
54,1962, cancer,April,2016,German actress (In aller Freundschaft),Hendrikje Fitz,German
42,1974, stabbed,April,2016,British art dealer and author,Adrian Greenwood,British
96,1920,,April,2016, Olympic bronze medalist (1948),Carlo Monti,Italian
73,1943,,April,2016,American professional wrestler (WWWF JCP CWF),Blackjack Mulligan,American
61,1955,,April,2016,American baseball statistician (Boston Red Sox),Chuck Waseleski,American
85,1931,,April,2016,English cricket player and coach (national team),Ruth Westbrook,English
87,1929,,April,2016,American football player (Washington Redskins Pittsburgh Steelers),Dick Alban,American
75,1941, President (1980–1984) and Director General (1986–2004) of the CFSA,April,2016,Canadian figure skating competitor judge and official,David Dore,Canadian
62,1954,,April,2016,American football player (Los Angeles Rams),Doug France,American
93,1923,,April,2016,American cartoonist (Blondie),Paul Fung Jr.,American
92,1924,,April,2016, MP for Bow and Poplar (1987–1997),Mildred Gordon,British
90,1926,,April,2016,"American musician and songwriter (""Great Balls of Fire"")",Jack Hammer,American
49,1967, cancer,April,2016,Belgian tennis coach (national team),Julien Hoferlin,Belgian
88,1928,,April,2016,Australian football player (Carlton),George Ilsley,Australian
85,1931,,April,2016,English footballer (Lincoln City),Fred Middleton,English
85,1931,,April,2016,British actor (Drop the Dead Donkey),David Swift,British
93,1923, voice of Lucky Charms leprechaun,April,2016,American actor (Courage the Cowardly Dog Midnight Cowboy),Arthur Anderson,American
83,1933, complications from esophageal cancer,April,2016,American spy (CIA Eclipse Group),Duane Clarridge,American
76,1940, pneumonia,April,2016,American avant-garde musician composer video artist and professor (University at Buffalo),Tony Conrad,American
74,1942,,April,2016, President of Latvian Academy of Sciences (2004–2012),Juris Ekmanis,Latvian
70,1946,,April,2016, Bishop of Matehuala (since 2006),Lucas Martínez Lara,Mexican
48,1968,,April,2016,English rugby union player (Gloucester Rugby),Martin Roberts,English
76,1940,,April,2016, member of the Senate (1980–1983),Derrick Rochester,Jamaican
34,1982, shot,April,2016,American football player (New Orleans Saints) Super Bowl champion (2010),Will Smith,American
91,1925, complications from Parkinson's disease,April,2016,American book editor (The Color Purple),John Ferrone,American
92,1924,,April,2016, Detroit City Councilman (1965–1993),Nicholas Hood,American
81,1935,,April,2016, Bishop of Obuasi (1995–2008) and Archbishop of Kumasi (2008–2012),Thomas Kwaku Mensah,Ghanaian
61,1955,,April,2016, amateur World Champion (1978),Henryk Średnicki,Polish
57,1959, diabetes,April,2016,American radio personality (The Doug Banks Radio Show),Doug Banks,American
78,1938,,April,2016,"Saint Lucian singer (""What Do You Want to Make Those Eyes at Me For?"") and sound engineer",Emile Ford,Saint
56,1960, liposarcoma,April,2016,American football player and broadcaster (New Orleans Saints),Hokie Gajan,American
84,1932,,April,2016,American neurosurgeon (Allegheny General Hospital),Peter J. Jannetta,American
102,1914,,April,2016, Director of the Wrens (1966–1970),Dame Marion Kettlewell,British
64,1952,,April,2016,British rugby league player (York Featherstone),Steve Quinn,British
96,1920,,April,2016,American businessman (Hickory Farms),Richard Ransom,American
83,1933, bladder cancer,April,2016,American sports executive (Comcast Spectacor Philadelphia Flyers Philadelphia 76ers),Ed Snider,American
83,1933, bladder cancer,April,2016,American sports executive (Comcast Spectacor Philadelphia Flyers Philadelphia 76ers),Ed Snider,American
88,1928,,April,2016,American radio broadcaster (Detroit Tigers),Paul Carey,American
71,1945,,April,2016,Spanish footballer (Real Madrid Espanyol),Pedro de Felipe,Spanish
62,1954,,April,2016,American TV producer (Michael Jackson: 30th Anniversary Special) and reality show contestant (I'm a Celebrity,David Gest,American
78,1938,,April,2016,American musician (The Flying Burrito Brothers) and composer (Boxcar Bertha),Gib Guilbeau,American
90,1926,,April,2016,American actress (The Shining Folks! Dirty Dingus Magee),Anne Jackson,American
91,1925,,April,2016, President of the Pennsylvania State University (1983–1990),Bryce Jordan,American
88,1928,,April,2016,New Zealand-born British violinist (Royal Philharmonic Orchestra Academy of St Martin in the Fields),Alan Loveday,New
44,1972,,April,2016,American professional wrestler (ECW WWE SMW),Balls Mahoney,American
85,1931,,April,2016, Bishop of Popokabaka (1979–1993),André Mayamba Mabuti Kathongo,Congolese
86,1930,,April,2016,Japanese voice actor (Super Sentai One Piece),Tōru Ōhira,Japanese
93,1923,,April,2016,American baseball executive (Houston Astros),Spec Richardson,American
89,1927,,April,2016,Cuban film director and screenwriter (The Adventures of Juan Quin Quin),Julio García Espinosa,Cuban
31,1985, bone cancer,April,2016,New Zealand rugby union player (Auckland Blues),Kurtis Haiu,New
86,1930,,April,2016, Bishop of Dodoma (1972–2005),Matthias Joseph Isuja,Tanzanian
94,1922,,April,2016,American executive (Tektronix),Robert W. Lundeen,American
89,1927,,April,2016, MP for Dawson (1966–1975),Rex Patterson,Australian
71,1945, heart failure,April,2016,Welsh actor (Blake's 7 Children of the Stones Star Maidens),Gareth Thomas,Welsh
79,1937,,April,2016, National Poet (2006–2008),Gwyn Thomas,Welsh
87,1929,,April,2016, member of the United States House of Representatives from Arkansas's 4th and 2nd congressional districts (1973–1979 1991–1997),Ray Thornton,American
101,1915,,April,2016, member of the Illinois House of Representatives (1965–1974),Bernard B. Wolfe,American
78,1938,,April,2016,British executive (Filofax),David Collischon,British
80,1936, politician and civil servant,April,2016,Fijian boxer (1956 Olympics),Hector Hatch,Fijian
90,1926, helped develop Rodeo Drive,April,2016,Swiss-born American fashion retailer (Giorgio Beverly Hills) and entrepreneur,Fred Hayman,Swiss-born
57,1959,,April,2016,Canadian-born American film producer and director (Jolene The Whole Wide World Mrs,Dan Ireland,Canadian-born
89,1927,,April,2016,Croatian film actor (Last of the Renegades The Golden Years Marshal Tito's Spirit),Ilija Ivezić,Croatian
81,1935,,April,2016, principal of Christchurch Teachers' College (1986–1995),Colin Knight,New
91,1925, vice-president of the International Astronautical Federation,April,2016,Chinese missile control scientist and academician (Chinese Academy of Sciences),Liang Sili,Chinese
48,1968, stomach cancer,April,2016,British author physicist and professor (University of Cambridge),Sir David MacKay,British
80,1936, heart failure,April,2016,Filipino broadcast executive and journalist (The Standard),Rod Reyes,Filipino
97,1919, vice-governor of Guizhou,April,2016,Chinese metallurgist and academician (Chinese Academy of Sciences),Xu Caidong,Chinese
72,1944,,April,2016,American baseball player (Milwaukee Brewers),Ron Theobald,American
61,1955, pancreatic cancer,April,2016,American politician member of the Missouri Senate (2003–2011),Carl M. Vogel,American
45,1971, breast cancer,April,2016,French politician member of the National Assembly (since 2008) Mayor of Thionville (since 2014),Anne Grommerch,French
49,1967, breast cancer,April,2016,American state judge Cook County Circuit Court judge (2010–2014) Illinois Appellate Court judge (since 2014),Laura Liu,American
94,1922,,April,2016,German-born American spy (OSS),Frederick Mayer,German-born
46,1970, breast cancer,April,2016,British actress (Emmerdale Memphis Belle Casualty),Morag Siller,British
88,1928,,April,2016, chairman of Communist Party of Belgium (1972–1989),Louis Van Geyt,Belgian
73,1943,,April,2016, 1966),Ron Bonham,American
82,1934, journalist (Expressen) and author,April,2016,Swedish media proprietor (Bonnier Group),Jeanette Bonnier,Swedish
73,1943, Parkinson's disease,April,2016,American film director (Teen Wolf K-9 WKRP in Cincinnati),Rod Daniel,American
82,1934,,April,2016, 1966),Charlie Hodge,Canadian
84,1932,,April,2016, Deputy Premier (1983–1989),Clarence James,Bermudian
98,1918,,April,2016, member of the New South Wales Legislative Council (1976–1984),Nathanael Orr,Australian
75,1941,,April,2016,Luxembourgian football player (Fola Esch Standard Liège Royal Antwerp) and manager (national team),Louis Pilot,Luxembourgian
79,1937,,April,2016, Oscar winner (1982),Kit West,British
70,1946,,April,2016, Bruce (1983–1990) and Deakin (1990–1996),Ken Aldred,Australian
91,1925,,April,2016,American educator (University of Arkansas at Little Rock) and child-development campaigner (NAEYC),Bettye Caldwell,American
79,1937,,April,2016, MP for La Trobe (1990–2004),Bob Charles,American-born
94,1922,,April,2016, CEO of Exxon (1975–1986),Clifton C. Garvin,American
57,1959,,April,2016, Vicar Apostolic of Puerto Gaitán (2014–2016),Luis Horacio Gomez González,Colombian
87,1929,,April,2016,American Olympic fencer (1968),Anthony Keane,American
30,1986,,April,2016,Russian footballer (FC Kaluga),Sergey Malyutin,Russian
54,1962, angiosarcoma,April,2016,American writer and producer (Hannibal Once Upon a Time X-Men),Scott Nimerfro,American
92,1924,,April,2016, Metropolitan of Baghdad and Kuwait (1969-2014),Constantine Papastephanou,Syrian
90,1926, stroke,April,2016,American actress (Everybody Loves Raymond Remington Steele Christmas Vacation),Doris Roberts,American
23,1993, traffic collision,April,2016,Vietnamese footballer (Long An U23 national team),Trần Phước Thọ,Vietnamese
75,1941, cancer,April,2016,American business executive (Apple) and college football coach (Columbia University),William Campbell,American
78,1938,,April,2016, European champion (1958 1962),Robert Christophe,French
84,1932,,April,2016, Archbishop of Mercedes-Luján (2000–2007),Rubén Héctor di Monte,Argentinian
87,1929,,April,2016,German footballer (Rot-Weiss Essen),Fritz Herkenrath,German
55,1961, breast cancer,April,2016,British actress (The House of Clocks Time for Loving Voices from Beyond) and television personality,Karina Huff,British
80,1936,,April,2016,American football player (Philadelphia Eagles New York Giants),Proverb Jacobs,American
83,1933,,April,2016, member of the European Parliament (1979–1984),Johan van Minnen,Dutch
90,1926,,April,2016,Russian painter (Bulldozer Exhibition),Vladimir Nemukhin,Russian
89,1927,,April,2016, Prix Nadar winner (1956),Fulvio Roiter,Italian
73,1943,,April,2016, Olympic champion (1968),Zoltán Szarka,Hungarian
84,1932,,April,2016, Minister for National Defense (1993–1996) and National Education and Religious Affairs (1996–2000),Gerasimos Arsenis,Greek
97,1919,,April,2016, President (1990–1994),Patricio Aylwin,Chilean
21,1995, avalanche,April,2016,Swiss snowboarder world champion (2015 2016),Estelle Balet,Swiss
81,1935,,April,2016,Australian rugby league footballer (Queensland),Dud Beattie,Australian
89,1927,,April,2016, member of the North Carolina General Assembly (1980–1984),Dorothy R. Burnley,American
72,1944,,April,2016,British geochemist and professor (University of Cambridge),Harry Elderfield,British
51,1965, cancer,April,2016,Israeli actress and film director (Gett: The Trial of Viviane Amsalem),Ronit Elkabetz,Israeli
93,1923,,April,2016, Nobel laureate (1998),Walter Kohn,Austrian-born
57,1959, nodular melanoma,April,2016,American musician (Negativland),Richard Lyons,American
86,1930,,April,2016,American basketball player (Milwaukee Hawks Northwestern State),John McConathy,American
30,1986, heart attack,April,2016,Iranian footballer (Malavan),Mehrdad Oladi,Iranian
76,1940,,April,2016,American baseball player (Baltimore Orioles Cincinnati Reds Chicago Cubs),Milt Pappas,American
65,1951, cancer,April,2016,American musician (Steeleye Span Richard Thompson The Albion Band),Pete Zorn,American
46,1970,,April,2016, Cougar Club),Chyna,American
93,1923,,April,2016,French-born British film director (James Bond Battle of Britain Evil Under the Sun),Guy Hamilton,French-born
93,1923,,April,2016,American baseball player (Chicago Cubs Cincinnati Reds),Harry Perkowski,American
52,1964, brain cancer,April,2016,American basketball player (New Jersey Nets Miami Heat Syracuse University),Dwayne Washington,American
